axis,method,score,stat_type,stat_value,p,n,note
label_noise_rate,conv_epinet,U_total,spearman,0.9819805060619657,8.648244862274892e-11,15,n=rate x seed points (3 seeds x 5 rates)
label_noise_rate,conv_epinet,U_epistemic,spearman,0.7528517213141738,0.0011978412625517812,15,n=rate x seed points (3 seeds x 5 rates)
label_noise_rate,conv_epinet,U_aleatoric,spearman,0.9819805060619657,8.648244862274892e-11,15,n=rate x seed points (3 seeds x 5 rates)
label_noise_rate,mc_dropout,U_total,spearman,0.9819805060619657,8.648244862274892e-11,15,"n=rate x seed points (3 seeds x 5 rates); U_total = sum of means (exact, BALD linearity)"
label_noise_rate,mc_dropout,U_epistemic,spearman,-0.971069611550166,1.8281168063183646e-09,15,"n=rate x seed points (3 seeds x 5 rates); U_total = sum of means (exact, BALD linearity)"
label_noise_rate,mc_dropout,U_aleatoric,spearman,0.9819805060619657,8.648244862274892e-11,15,"n=rate x seed points (3 seeds x 5 rates); U_total = sum of means (exact, BALD linearity)"
label_noise_rate,laplace,U_total,spearman,0.9819805060619657,8.648244862274892e-11,15,n=rate x seed points (3 seeds x 5 rates); U_total = sum of means
label_noise_rate,laplace,U_epistemic,spearman,-0.9056042444793684,3.3956945865065905e-06,15,n=rate x seed points (3 seeds x 5 rates); U_total = sum of means
label_noise_rate,laplace,U_aleatoric,spearman,0.9819805060619657,8.648244862274892e-11,15,n=rate x seed points (3 seeds x 5 rates); U_total = sum of means
label_noise_rate,ensemble_k5,U_total,spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication -- low-powered correlation"
label_noise_rate,ensemble_k5,U_epistemic,spearman,-0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication -- low-powered correlation"
label_noise_rate,ensemble_k5,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication -- low-powered correlation"
label_noise_rate,ensemble_k3,U_total,spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication"
label_noise_rate,ensemble_k3,U_epistemic,spearman,-0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication"
label_noise_rate,ensemble_k3,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points only, no seed replication"
label_noise_rate,evidential,U_total_proxy(vacuity+aleatoric),spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points; evidential has no true BALD U_epistemic (K=1) -- vacuity used as its epistemic-analogue; U_total_proxy = vacuity + U_aleatoric is NOT the BALD identity, just an ad hoc sum for comparability"
label_noise_rate,evidential,vacuity(epistemic-analogue),spearman,0.8999999999999998,0.03738607346849874,5,"n=5 rate points; evidential has no true BALD U_epistemic (K=1) -- vacuity used as its epistemic-analogue; U_total_proxy = vacuity + U_aleatoric is NOT the BALD identity, just an ad hoc sum for comparability"
label_noise_rate,evidential,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,"n=5 rate points; evidential has no true BALD U_epistemic (K=1) -- vacuity used as its epistemic-analogue; U_total_proxy = vacuity + U_aleatoric is NOT the BALD identity, just an ad hoc sum for comparability"
label_noise_rate,rf_kmer,U_total,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,rf_kmer,U_epistemic,spearman,-0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,rf_kmer,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,cnn_ensemble,U_total,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,cnn_ensemble,U_epistemic,spearman,0.09999999999999999,0.8728885715695384,5,n=5 rate points only
label_noise_rate,cnn_ensemble,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,cnn_mc_dropout,U_total,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
label_noise_rate,cnn_mc_dropout,U_epistemic,spearman,0.8999999999999998,0.03738607346849874,5,n=5 rate points only
label_noise_rate,cnn_mc_dropout,U_aleatoric,spearman,0.9999999999999999,1.4042654220543602e-24,5,n=5 rate points only
ood_severity,base,U_total,mwu(shuffled_vs_real),,0.00064,1584,"mean(real)=0.352, mean(shuffled)=0.397; from .docs/ALL_METHODS_OOD_SEVERITY.md, reused verbatim"
ood_severity,base,U_total,mwu(random_dna_vs_real),,1.9e-34,1584,"mean(real)=0.352, mean(random_dna)=0.443; from .docs/ALL_METHODS_OOD_SEVERITY.md, reused verbatim"
