idx,label,pred_base,prob_class1,margin,quartile
0,1,1,0.7984923124313354,0.5969846248626709,Q1
1,1,0,0.06845607608556747,0.8630878329277039,Q2
2,1,1,0.8990830779075623,0.7981661558151245,Q2
3,1,1,0.9948768019676208,0.9897536039352417,Q4
4,1,1,0.9942991733551025,0.9885983467102051,Q4
5,1,1,0.9584829211235046,0.9169658422470093,Q2
6,1,1,0.6746299862861633,0.34925997257232666,Q1
7,1,1,0.8796507120132446,0.7593014240264893,Q2
8,1,1,0.9123085737228394,0.8246171474456787,Q2
9,1,1,0.9929854273796082,0.9859708547592163,Q4
10,1,0,0.06633150577545166,0.8673369884490967,Q2
11,1,1,0.9949260950088501,0.9898521900177002,Q4
12,1,1,0.9921425580978394,0.9842851161956787,Q4
13,1,1,0.9579485654830933,0.9158971309661865,Q2
14,1,1,0.7058655023574829,0.4117310047149658,Q1
15,1,0,0.26352038979530334,0.4729592204093933,Q1
16,1,1,0.9880544543266296,0.9761089086532593,Q3
17,1,1,0.9946147799491882,0.9892295598983765,Q4
18,1,1,0.9907646179199219,0.9815292358398438,Q3
19,1,1,0.9944941401481628,0.9889882802963257,Q4
20,1,1,0.9949668049812317,0.9899336099624634,Q4
21,1,1,0.843727171421051,0.687454342842102,Q1
22,1,0,0.133088618516922,0.733822762966156,Q2
23,1,1,0.9940211176872253,0.9880422353744507,Q4
24,1,1,0.7535560131072998,0.5071120262145996,Q1
25,1,1,0.8444916009902954,0.6889832019805908,Q1
26,1,1,0.8654052019119263,0.7308104038238525,Q2
27,1,1,0.9290801286697388,0.8581602573394775,Q2
28,1,1,0.9948500990867615,0.989700198173523,Q4
29,1,0,0.35044065117836,0.29911869764328003,Q1
30,1,1,0.9928262233734131,0.9856524467468262,Q4
31,1,1,0.9929313659667969,0.9858627319335938,Q4
32,1,1,0.8083052635192871,0.6166105270385742,Q1
33,1,1,0.5502439141273499,0.10048782825469971,Q1
34,1,1,0.9229812026023865,0.845962405204773,Q2
35,1,1,0.9078222513198853,0.8156445026397705,Q2
36,1,1,0.9948492646217346,0.9896985292434692,Q4
37,1,1,0.9942968487739563,0.9885936975479126,Q4
38,1,1,0.9946700930595398,0.9893401861190796,Q4
39,1,0,0.1387750804424286,0.7224498391151428,Q1
40,1,1,0.7055312991142273,0.4110625982284546,Q1
41,1,1,0.9943162798881531,0.9886325597763062,Q4
42,1,0,0.38950344920158386,0.22099310159683228,Q1
43,1,1,0.9949097037315369,0.9898194074630737,Q4
44,1,1,0.988434910774231,0.9768698215484619,Q3
45,1,1,0.994723916053772,0.989447832107544,Q4
46,1,1,0.9947813153266907,0.9895626306533813,Q4
47,1,1,0.9536663889884949,0.9073327779769897,Q2
48,1,1,0.8510106205940247,0.7020212411880493,Q1
49,1,1,0.9579602479934692,0.9159204959869385,Q2
50,1,1,0.8758472800254822,0.7516945600509644,Q2
51,1,1,0.9188199043273926,0.8376398086547852,Q2
52,1,1,0.9408032298088074,0.8816064596176147,Q2
53,1,1,0.9331978559494019,0.8663957118988037,Q2
54,1,1,0.8076583743095398,0.6153167486190796,Q1
55,1,1,0.985241711139679,0.9704834222793579,Q3
56,1,1,0.9948839545249939,0.9897679090499878,Q4
57,1,1,0.994351863861084,0.988703727722168,Q4
58,1,0,0.12114076316356659,0.7577184438705444,Q2
59,1,1,0.9836190342903137,0.9672380685806274,Q3
60,1,1,0.9220488667488098,0.8440977334976196,Q2
61,1,1,0.992404043674469,0.984808087348938,Q4
62,1,1,0.8694829344749451,0.7389658689498901,Q2
63,1,1,0.9947447776794434,0.9894895553588867,Q4
64,1,1,0.8527567982673645,0.705513596534729,Q1
65,1,1,0.9916708469390869,0.9833416938781738,Q3
66,1,1,0.9940833449363708,0.9881666898727417,Q4
67,1,1,0.9821115732192993,0.9642231464385986,Q3
68,1,1,0.7469221949577332,0.4938443899154663,Q1
69,1,1,0.9920759201049805,0.9841518402099609,Q4
70,1,1,0.9274013042449951,0.8548026084899902,Q2
71,1,1,0.9947240948677063,0.9894481897354126,Q4
72,1,1,0.9548277854919434,0.9096555709838867,Q2
73,1,1,0.9945107698440552,0.9890215396881104,Q4
74,1,0,0.31231793761253357,0.37536412477493286,Q1
75,1,1,0.9935830235481262,0.9871660470962524,Q4
76,1,1,0.9947503209114075,0.9895006418228149,Q4
77,1,1,0.9946746826171875,0.989349365234375,Q4
78,1,1,0.9947829842567444,0.9895659685134888,Q4
79,1,1,0.9785511493682861,0.9571022987365723,Q3
80,1,1,0.9948400855064392,0.9896801710128784,Q4
81,1,1,0.7780093550682068,0.5560187101364136,Q1
82,1,1,0.9925726652145386,0.9851453304290771,Q4
83,1,1,0.9930543303489685,0.986108660697937,Q4
84,1,1,0.9945308566093445,0.989061713218689,Q4
85,1,1,0.9947115182876587,0.9894230365753174,Q4
86,1,1,0.9940793514251709,0.9881587028503418,Q4
87,1,1,0.9944853186607361,0.9889706373214722,Q4
88,1,1,0.9927883744239807,0.9855767488479614,Q4
89,1,1,0.9935364127159119,0.9870728254318237,Q4
90,1,0,0.22032833099365234,0.5593433380126953,Q1
91,1,1,0.9934724569320679,0.9869449138641357,Q4
92,1,1,0.8608368635177612,0.7216737270355225,Q1
93,1,1,0.994601845741272,0.989203691482544,Q4
94,1,1,0.9948691129684448,0.9897382259368896,Q4
95,1,0,0.0691680759191513,0.861663818359375,Q2
96,1,1,0.8483448624610901,0.6966897249221802,Q1
97,1,1,0.9949262142181396,0.9898524284362793,Q4
98,1,1,0.7756491303443909,0.5512982606887817,Q1
99,1,1,0.8787619471549988,0.7575238943099976,Q2
100,1,1,0.5996537804603577,0.19930756092071533,Q1
101,1,1,0.9109413027763367,0.8218826055526733,Q2
102,1,1,0.7638869881629944,0.5277739763259888,Q1
103,1,1,0.7653937339782715,0.530787467956543,Q1
104,1,1,0.9946069121360779,0.9892138242721558,Q4
105,1,1,0.8591522574424744,0.7183045148849487,Q1
106,1,0,0.3656214773654938,0.26875704526901245,Q1
107,1,0,0.264167457818985,0.47166508436203003,Q1
108,1,1,0.994540274143219,0.989080548286438,Q4
109,1,0,0.38658079504966736,0.22683840990066528,Q1
110,1,0,0.263769268989563,0.472461462020874,Q1
111,1,1,0.9949236512184143,0.9898473024368286,Q4
112,1,1,0.9943804144859314,0.9887608289718628,Q4
113,1,1,0.9944353103637695,0.9888706207275391,Q4
114,1,0,0.17398612201213837,0.6520277261734009,Q1
115,1,0,0.24510394036769867,0.5097920894622803,Q1
116,1,1,0.9910573959350586,0.9821147918701172,Q3
