idx,method,pred,U_total,U_epistemic,U_aleatoric,vote_pct,vacuity,dirichlet_strength,label,quartile,margin,var_U_epistemic,var_U_aleatoric
0,conv_epinet,1,0.8681046366691589,0.06551369279623032,0.8025909066200256,0.8999999761581421,,,1,Q1,0.5969846248626709,,
1,conv_epinet,0,0.36605381965637207,0.016370877623558044,0.34968292713165283,1.0,,,1,Q2,0.8630878329277039,,
2,conv_epinet,1,0.589635968208313,0.023253044113516808,0.5663829445838928,1.0,,,1,Q2,0.7981661558151245,,
3,conv_epinet,1,0.0461098849773407,0.0009996438166126609,0.04511024430394173,1.0,,,1,Q4,0.9897536039352416,,
4,conv_epinet,1,0.07915405929088593,0.0024591099936515093,0.07669495046138763,1.0,,,1,Q4,0.9885983467102052,,
5,conv_epinet,1,0.3226907551288605,0.012350525707006454,0.3103402256965637,1.0,,,1,Q2,0.9169658422470092,,
6,conv_epinet,1,0.9349310398101807,0.06566658616065979,0.8692644834518433,0.8999999761581421,,,1,Q1,0.3492599725723266,,
7,conv_epinet,1,0.4797937273979187,0.03660281002521515,0.44319090247154236,1.0,,,1,Q2,0.7593014240264893,,
8,conv_epinet,1,0.5657715797424316,0.03388109803199768,0.5318905115127563,1.0,,,1,Q2,0.8246171474456787,,
9,conv_epinet,1,0.06594574451446533,0.0016052215360105038,0.06434052437543869,1.0,,,1,Q4,0.9859708547592164,,
10,conv_epinet,0,0.34035950899124146,0.012005635537207127,0.3283538818359375,1.0,,,1,Q2,0.8673369884490967,,
11,conv_epinet,1,0.046389419585466385,0.0011260348837822676,0.0452633835375309,1.0,,,1,Q4,0.9898521900177002,,
12,conv_epinet,1,0.06789027154445648,0.0011350425193086267,0.06675522774457932,1.0,,,1,Q4,0.9842851161956788,,
13,conv_epinet,1,0.3783000111579895,0.026491433382034302,0.3518085777759552,1.0,,,1,Q2,0.9158971309661864,,
14,conv_epinet,1,0.8379538059234619,0.04051068425178528,0.797443151473999,1.0,,,1,Q1,0.4117310047149658,,
15,conv_epinet,0,0.8488569855690002,0.04439689218997955,0.8044601082801819,1.0,,,1,Q1,0.4729592204093933,,
16,conv_epinet,1,0.12480032444000244,0.003856925992295146,0.12094340473413467,1.0,,,1,Q3,0.9761089086532592,,
17,conv_epinet,1,0.057733166962862015,0.0014214151306077838,0.056311752647161484,1.0,,,1,Q4,0.9892295598983764,,
18,conv_epinet,1,0.11249622702598572,0.002606010064482689,0.10989021509885788,1.0,,,1,Q3,0.9815292358398438,,
19,conv_epinet,1,0.056803714483976364,0.0008706406806595623,0.05593307316303253,1.0,,,1,Q4,0.9889882802963256,,
20,conv_epinet,1,0.05677463486790657,0.0004723234742414206,0.05630230903625488,1.0,,,1,Q4,0.9899336099624634,,
21,conv_epinet,1,0.7077642679214478,0.0628766417503357,0.6448876261711121,0.8999999761581421,,,1,Q1,0.687454342842102,,
22,conv_epinet,0,0.5270292162895203,0.008995079435408115,0.5180341601371765,1.0,,,1,Q2,0.733822762966156,,
23,conv_epinet,1,0.06310194730758667,0.0028978486079722643,0.060204096138477325,1.0,,,1,Q4,0.9880422353744508,,
24,conv_epinet,1,0.835894763469696,0.04463087394833565,0.7912638783454895,0.8999999761581421,,,1,Q1,0.5071120262145996,,
25,conv_epinet,1,0.7115063071250916,0.09025215357542038,0.6212541460990906,0.8999999761581421,,,1,Q1,0.6889832019805908,,
